Study area,Region.Label,Area,Sample.Label,Effort,distance,size,object,observer,detected,side,exp,fatigue,gscat,vis,glare,ssmi,altitude,obsname
Nominal_area,1,1000000,99A22,31.63,191.98,1,54537,1,1,L,237.2,98.55,1,G,N,71,39.64192,MF
Nominal_area,1,1000000,99A22,31.63,191.98,1,54537,2,0,L,25.5,98.55,1,G,N,71,39.64192,MH
Nominal_area,1,1000000,99A22,31.63,421.4,1,54538,1,1,R,25.5,99.15,1,G,N,72,39.47113,YH
Nominal_area,1,1000000,99A22,31.63,421.4,1,54538,2,1,R,203.4,99.15,1,G,N,72,39.47113,HZ
Nominal_area,1,1000000,99A23,57.5,511.6,1,54542,1,1,L,252.7,112.01,1,G,N,71,38.75326,MF
Nominal_area,1,1000000,99A23,57.5,511.6,1,54542,2,1,L,41,112.01,1,G,N,71,38.75326,MH
Nominal_area,1,1000000,99A23,57.5,300.09,1,54544,1,1,L,252.7,112.78,1,G,N,71,38.75326,MF
Nominal_area,1,1000000,99A23,57.5,300.09,1,54544,2,1,L,41,112.78,1,G,N,71,38.75326,MH
Nominal_area,1,1000000,99A23,57.5,368.76,1,54546,1,1,L,252.7,114.56,1,G,N,71,38.71998,MF
Nominal_area,1,1000000,99A23,57.5,368.76,1,54546,2,1,L,41,114.56,1,G,N,71,38.71998,MH
Nominal_area,1,1000000,99A23,57.5,420.4,3,54550,1,0,R,41,116.16,3,G,N,71,38.56604,YH
Nominal_area,1,1000000,99A23,57.5,420.4,3,54550,2,1,R,218.9,116.16,3,G,N,71,38.56604,HZ
Nominal_area,1,1000000,99A23,57.5,300.09,1,54551,1,0,L,252.7,116.25,1,G,N,71,38.56604,MF
Nominal_area,1,1000000,99A23,57.5,300.09,1,54551,2,1,L,41,116.25,1,G,N,71,38.56604,MH
Nominal_area,1,1000000,99A23,57.5,351.36,1,54552,1,1,L,252.7,117.19,1,G,N,71,38.40001,MF
Nominal_area,1,1000000,99A23,57.5,351.36,1,54552,2,1,L,41,117.19,1,G,N,71,38.40001,MH
Nominal_area,1,1000000,99A23,57.5,29.61,1,54556,1,1,R,41,119.01,1,G,N,71,38.40001,YH
Nominal_area,1,1000000,99A23,57.5,29.61,1,54556,2,1,R,218.9,119.01,1,G,N,71,38.40001,HZ
Nominal_area,1,1000000,99A23,57.5,459.8,1,54561,1,1,L,252.7,121.28,1,G,N,71,38.21445,MF
Nominal_area,1,1000000,99A23,57.5,459.8,1,54561,2,1,L,41,121.28,1,G,N,71,38.21445,MH
Nominal_area,1,1000000,99A23,57.5,285.54,1,54564,1,1,L,252.7,123.15,1,G,N,71,38.06781,MF
Nominal_area,1,1000000,99A23,57.5,285.54,1,54564,2,1,L,41,123.15,1,G,N,71,38.06781,MH
Nominal_area,1,1000000,99A23,57.5,108.03,1,54565,1,1,L,252.7,123.26,1,G,N,71,38.06781,MF
Nominal_area,1,1000000,99A23,57.5,108.03,1,54565,2,1,L,41,123.26,1,G,N,71,38.06781,MH
Nominal_area,1,1000000,99A23,57.5,537.92,1,54568,1,0,R,41,123.91,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,537.92,1,54568,2,1,R,218.9,123.91,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,537.92,1,54569,1,0,R,41,123.95,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,537.92,1,54569,2,1,R,218.9,123.95,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,128.63,1,54570,1,1,R,41,124.43,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,128.63,1,54570,2,1,R,218.9,124.43,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,90.17,1,54573,1,1,R,41,125.76,1,G,N,77,37.89567,YH
Nominal_area,1,1000000,99A23,57.5,90.17,1,54573,2,1,R,218.9,125.76,1,G,N,77,37.89567,HZ
Nominal_area,1,1000000,99A23,57.5,179.62,1,54574,1,1,L,252.7,125.8,1,G,N,77,37.89567,MF
Nominal_area,1,1000000,99A23,57.5,179.62,1,54574,2,1,L,41,125.8,1,G,N,77,37.89567,MH
Nominal_area,1,1000000,99A23,57.5,204.87,1,54575,1,1,L,252.7,125.84,1,G,N,77,37.71593,MF
Nominal_area,1,1000000,99A23,57.5,204.87,1,54575,2,1,L,41,125.84,1,G,N,77,37.71593,MH
Nominal_area,1,1000000,99A23,57.5,526.96,1,54576,1,1,R,41,126.06,1,G,N,77,37.71593,YH
Nominal_area,1,1000000,99A23,57.5,526.96,1,54576,2,1,R,218.9,126.06,1,G,N,77,37.71593,HZ
Nominal_area,1,1000000,99A23,57.5,395.5,1,54579,1,1,L,252.7,129.03,1,G,N,77,37.48218,MF
Nominal_area,1,1000000,99A23,57.5,395.5,1,54579,2,1,L,41,129.03,1,G,N,77,37.48218,MH
Nominal_area,1,1000000,99A23,57.5,82.29,1,54582,1,1,R,41,130.95,1,G,N,77,37.35761,YH
Nominal_area,1,1000000,99A23,57.5,82.29,1,54582,2,1,R,218.9,130.95,1,G,N,77,37.35761,HZ
Nominal_area,1,1000000,99A23,57.5,156.28,1,54583,1,1,L,252.7,130.96,1,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,156.28,1,54583,2,1,L,41,130.96,1,G,N,77,37.35761,MH
Nominal_area,1,1000000,99A23,57.5,344.72,5,54584,1,1,L,252.7,131.03,3,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,344.72,5,54584,2,1,L,41,131.03,3,G,N,77,37.35761,MH
Nominal_area,1,1000000,99A23,57.5,297.01,2,54585,1,1,L,252.7,131.09,2,G,N,77,37.35761,MF
Nominal_area,1,1000000,99A23,57.5,297.01,2,54585,2,1,L,41,131.09,2,G,N,77,37.35761,MH
Nominal_area,1,1000000,99A23,57.5,411.17,1,54589,1,1,L,252.7,132.96,1,G,N,77,37.175,MF
Nominal_area,1,1000000,99A23,57.5,411.17,1,54589,2,1,L,41,132.96,1,G,N,77,37.175,MH
Nominal_area,1,1000000,99A23,57.5,395.21,1,54591,1,1,L,252.7,134.23,1,G,N,77,37.175,MF
Nominal_area,1,1000000,99A23,57.5,395.21,1,54591,2,0,L,41,134.23,1,G,N,77,37.175,MH
Nominal_area,1,1000000,99A23,57.5,666.53,1,54592,1,0,L,252.7,134.46,1,G,N,77,36.9608,MF
