"Survey","SeaState","SightingTime","coords.x1","coords.x2","distance","object","Sample.Label","size","observer"
"en04395",1,"2004/07/22 16:09:24",-71.861,37.308,3430.62858,59,264,3,1,1
"en04395",1,"2004/07/22 16:17:33",-71.88,37.3260000000001,21.388373,60,264,1,1,1
"en04395",4.5,"2004/07/27 11:06:03",-72.01,38.5570000000001,69.521787,61,312,1,1,1
"en04395",3.5,"2004/07/27 10:23:17",-72.03,38.6730000000001,3323.24873,62,311,2,1,1
"en04395",2.5,"2004/07/27 09:00:22",-72.032,38.86,2908.96835,63,308,1,1,1
"en04395",2,"2004/07/27 16:19:27",-72.049,39.418,3130.525143,64,315,1,1,1
"en04395",2,"2004/07/27 16:04:17",-72.054,39.372,1526.703163,65,315,1,1,1
"en04395",2.8,"2004/07/27 06:45:00",-72.08,39.0410000000001,981.363048,66,306,2,1,1
"en04395",1.8,"2004/08/03 08:50:15",-72.446,38.8530000000001,3792.903857,67,396,3,1,1
"en04395",1.8,"2004/08/03 07:45:10",-72.528,38.8440000000001,1623.890329,68,394,1,1,1
"en04395",2,"2004/08/03 09:34:13",-72.535,38.9620000000001,874.535298,69,397,1,1,1
"en04395",2,"2004/08/03 09:36:08",-72.538,38.9660000000001,1216.193181,70,397,5,1,1
"en04395",1.8,"2004/08/03 07:40:22",-72.544,38.8500000000001,3788.280922,71,394,4,1,1
"en04395",1.8,"2004/08/03 07:39:07",-72.548,38.8520000000001,3602.79816,72,393,1,1,1
"en04395",1.8,"2004/08/03 07:38:21",-72.55,38.8530000000001,407.882109,73,393,1,1,1
"en04395",1.8,"2004/08/03 07:38:08",-72.551,38.854,531.171735,74,393,1,1,1
"en04395",2.5,"2004/08/03 07:28:30",-72.583,38.8670000000001,42.58191,75,393,1,1,1
"en04395",2.5,"2004/08/03 07:27:14",-72.587,38.869,323.180142,76,393,1,1,1
"en04395",2.5,"2004/08/03 07:23:10",-72.601,38.875,5231.174293,77,393,1,1,1
"en04395",2.5,"2004/08/03 07:18:59",-72.614,38.881,3710.903185,78,393,3,1,1
"en04395",3,"2004/07/24 15:17:59",-72.941,38.726,3424.93419,79,301,1,1,1
"en04395",1.8,"2004/07/24 07:28:30",-73.344,38.3130000000001,4936.626895,80,289,1,1,1
"en04395",4,"2004/07/23 15:10:19",-73.499,38.1480000000001,1646.564943,81,281,1,1,1
"GU0403",4,"2004/06/28 11:11:10",-78.59023477,29.8011168300001,588.4028371,82,438,1,1,1
"GU0403",3,"2004/07/02 08:04:26",-76.05207506,31.6110440200001,1585.717584,83,503,2.2,1,1
"GU0403",3,"2004/07/02 08:09:44",-76.02420734,31.6114869500001,2641.243462,84,503,2,1,1
"GU0403",2,"2004/07/02 15:53:46",-75.5231599,31.9383120400001,2088.335633,85,514,1,1,1
"GU0403",2,"2004/07/02 17:09:20",-75.50878931,32.0167116100001,656.5268989,86,515,2.25,1,1
"GU0403",3,"2004/07/05 08:03:45",-74.2719441,34.29395976,3123.546559,87,562,3,1,1
"GU0403",5,"2004/07/05 11:27:33",-74.54900013,34.8050485000001,718.3255981,88,568,1,1,1
"GU0403",2,"2004/07/07 06:08:07",-72.2278907,34.9242367400001,329.5252407,89,605,1,1,1
"GU0403",4,"2004/07/08 08:22:48",-74.10554677,35.6858429700001,1151.412956,90,619,1,1,1
"GU0403",2,"2004/07/08 18:11:45",-74.28590298,35.8113681200001,2209.027657,91,621,1,1,1
"GU0403",2,"2004/07/08 18:24:53",-74.31957708,35.8226839300001,286.6639081,92,621,2,1,1
"GU0403",2,"2004/07/08 18:38:28",-74.34420722,35.8358307100001,1958.403533,93,621,1.5,1,1
"GU0403",3,"2004/07/09 06:14:37",-74.62383841,35.8466724900001,3419.639735,94,623,1.333333333,1,1
"GU0403",3,"2004/07/20 19:23:41",-75.25644468,34.8602124200001,8230.566536,95,741,1,1,1
"GU0403",2,"2004/07/21 19:11:35",-73.9971969,36.1616073900001,1705.118912,96,759,4.5,1,1
"GU0403",1,"2004/07/22 08:25:09",-74.25611523,36.6861014900001,3152.492837,97,761,3.5,1,1
"GU0403",1,"2004/07/22 13:20:38",-74.30111044,36.4570463900001,3152.492837,98,761,2.666666667,1,1
"GU0403",0,"2004/07/22 14:37:55",-74.37934511,36.62724257,2257.196359,99,762,5,1,1
"GU0403",0,"2004/07/22 15:18:29",-74.39987518,36.6688867100001,3135.223164,100,762,2,1,1
"GU0403",0,"2004/07/22 15:26:47",-74.47224928,36.7001814700001,323.4138961,101,762,4.5,1,1
"GU0403",0,"2004/07/22 15:45:12",-74.43730399,36.7282348200001,4636.327926,102,763,2.5,1,1
"GU0403",0,"2004/07/22 15:52:11",-74.51550889,36.7458044900001,815.9252076,103,763,3,1,1
"GU0403",4,"2004/07/23 14:38:35",-73.96158258,37.4485697,2374.767637,104,774,2.2,1,1
"GU0403",4,"2004/07/23 16:29:39",-73.61732917,37.5389015300001,945.7620013,105,777,2,1,1
"GU0403",3,"2004/07/23 17:13:00",-73.4625126,37.6114125700001,3704.986458,106,778,1,1,1
"GU0403",3,"2004/07/23 17:45:06",-73.36759863,37.5820452700001,3736.270013,107,779,2,1,1
"GU0403",2,"2004/07/24 06:43:21",-72.99466919,37.7071032800001,583.9369251,108,782,4.6,1,1
"GU0403",2,"2004/07/24 06:44:32",-73.01266346,37.7059423200001,286.6639081,109,782,1.8,1,1
"GU0403",2,"2004/07/24 06:59:38",-72.88678793,37.7161888100001,2133.150833,110,782,1,1,1
"GU0403",2,"2004/07/24 07:01:44",-72.88189912,37.7311495400001,718.3255981,111,782,1.6,1,1
"GU0403",3,"2004/07/24 12:24:37",-72.16012383,37.8672935100001,5817.838471,112,787,2,1,1
"GU0403",2,"2004/07/25 06:30:56",-71.13988798,37.89174095,373.6810209,113,796,2,1,1
"GU0403",2,"2004/07/26 16:13:23",-73.01843917,37.1333848700001,113.0881866,114,813,1,1,1
"GU0403",2,"2004/07/26 16:49:55",-72.97463901,37.02055515,1509.440766,115,814,5,1,1
"GU0403",3,"2004/07/27 08:58:16",-73.55119656,36.5560068200001,3515.763628,116,816,2,1,1
"GU0403",5,"2004/07/27 14:02:06",-74.3918146,36.2870109600001,547.4246511,117,824,1,1,1
"GU0403",4,"2004/08/01 11:22:54",-74.04429798,37.3812458100001,470.9374938,118,835,4,1,1
"GU0403",4,"2004/08/01 11:30:47",-74.03039077,37.3938544400001,2854.408558,119,835,3,1,1
"GU0403",3,"2004/08/01 12:19:55",-73.93939407,37.2412604900001,772.5636867,120,836,3.666666667,1,1
"GU0403",3,"2004/08/01 12:40:35",-73.93584633,37.2301556600001,449.258173,121,836,7.8,1,1
"GU0403",3,"2004/08/01 13:22:10",-73.87216818,37.1961254700001,492.4038798,122,836,1.25,1,1
"GU0403",3,"2004/08/01 13:32:56",-73.83357098,37.1436374900001,326.0842835,123,837,2,1,1
"GU0403",3,"2004/08/01 13:41:40",-73.82029104,37.1590126600001,1650.831608,124,837,1,1,1
"GU0403",3,"2004/08/01 14:17:50",-73.73731875,37.0024331000001,143.8403242,125,838,1,1,1
"GU0403",3,"2004/08/01 14:23:11",-73.7210383,37.0092757200001,1172.327573,126,838,4,1,1
"GU0403",3,"2004/08/01 15:11:03",-73.60504063,36.9594201000001,8116.649359,127,839,3,1,1
"GU0403",3,"2004/08/01 15:16:36",-73.74144251,36.8819500100001,7139.100498,128,839,1,1,1
"GU0403",3,"2004/08/01 15:59:30",-73.53577707,36.8137162100001,5246.640906,129,840,1,1,1
"GU0403",3,"2004/08/01 16:45:15",-73.51026646,36.7063209500001,1205.713637,130,841,2.5,1,1
"GU0403",3,"2004/08/01 16:53:24",-73.51385973,36.6928706,141.4213593,131,841,1,1,1
"GU0403",3,"2004/08/02 06:13:23",-74.3270384,36.49042368,438.7422158,132,844,2.333333333,1,1
"GU0403",3,"2004/08/02 06:22:52",-74.34589259,36.4744353900001,2185.472659,133,844,2.5,1,1
"GU0403",3,"2004/08/02 06:27:42",-74.35517578,36.5106392900001,1348.439052,134,844,1.5,1,1
"GU0403",3,"2004/08/02 06:35:47",-74.36423792,36.5605017100001,6344.020236,135,844,1.333333333,1,1
"GU0403",3,"2004/08/02 06:53:21",-74.42992494,36.4799169700001,4636.327926,136,844,3,1,1
"GU0403",5,"2004/08/05 18:32:06",-73.4859078,36.5698559600001,70.71067965,137,859,1,1
