x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
477984.6181,738253.9925,126.5617,11.3653,1407.3188,7698.5474,0.0027,1e+08,43
487984.6181,738253.9925,135.3002,11.2897,1387.3994,10232.2412,0.0043,1e+08,44
497984.6181,738253.9925,195.0501,11.2716,1466.1355,8358.9902,0.006,1e+08,45
507984.6181,738253.9925,438.3272,11.3174,1527.9915,3428.4138,0.0073,1e+08,46
517984.6181,738253.9925,1263.2865,11.4742,1553.3488,1827.1169,0.0087,1e+08,47
527984.6181,738253.9925,1720.1497,11.6621,1470.9352,2306.8083,0.0129,1e+08,48
537984.6181,738253.9925,1960.9526,11.8189,1405.9688,1592.2634,0.0185,1e+08,49
547984.6181,738253.9925,2237.6052,11.8734,1331.6539,2088.4077,0.0267,1e+08,50
557984.6181,738253.9925,2423.7649,11.7311,1291.9242,5310.6025,0.0368,1e+08,51
567984.6181,738253.9925,2542.0945,11.4544,1290.7682,5247.0273,0.0422,1e+08,52
577984.6181,738253.9925,2972.1221,11.0955,1247.2087,1978.3954,0.0415,1e+08,53
587984.6181,738253.9925,3209.7773,11.088,1479.5645,1792.7897,0.0392,1e+08,54
597984.6181,738253.9925,3357.6365,11.1632,1554.1578,5685.6523,0.0335,1e+08,55
397984.6181,728253.9925,96.3191,9.8633,1180.1375,17387.4902,0.0022,1e+08,56
407984.6181,728253.9925,107.2368,10.3682,1216.1492,8585.9062,0.0011,1e+08,57
417984.6181,728253.9925,163.365,10.9436,1456.3035,5142.7446,4e-04,1e+08,58
427984.6181,728253.9925,118.6194,11.4902,1527.2784,9072.625,5e-04,1e+08,59
437984.6181,728253.9925,117.3148,11.897,1576.7456,8330.2529,6e-04,1e+08,60
447984.6181,728253.9925,133.9369,12.1439,1527.2465,4728.1069,9e-04,1e+08,61
457984.6181,728253.9925,264.7694,12.2415,1405.9636,2797.1536,0.0012,1e+08,62
467984.6181,728253.9925,136.5524,12.2989,1432.2566,6168.4912,0.0018,1e+08,63
477984.6181,728253.9925,331.3181,12.3263,1450.6647,3023.6697,0.0025,1e+08,64
487984.6181,728253.9925,282.6085,12.1716,1363.3109,3755.4553,0.0042,1e+08,65
497984.6181,728253.9925,795.2166,12.0415,1442.1116,2590.9919,0.006,1e+08,66
507984.6181,728253.9925,1304.8656,11.9474,1524.5905,2418.0835,0.0083,1e+08,67
517984.6181,728253.9925,1700.4457,12.0059,1612.3604,1283.3865,0.0107,1e+08,68
527984.6181,728253.9925,2010.9579,12.129,1651.2218,1420.0076,0.0157,1e+08,69
537984.6181,728253.9925,2218.9861,12.2956,1493.6124,917.0485,0.0222,1e+08,70
547984.6181,728253.9925,2579.1787,12.3751,1499.8369,878.542,0.0294,1e+08,71
